id,name,cause,regions,source_primary,source_url,evidence_text,transparency_notes,transparency_url
11,Fred Hollows Foundation,Eye health,Sub-Saharan Africa Asia Pacific,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/fred-hollows-foundation/,"Restores sight through cataract surgeries, trachoma treatment, and comprehensive eye care services. Has restored sight to over 2.5 million people and delivered over 200 million doses of trachoma antibiotics. Works to eliminate trachoma (leading infectious cause of blindness) through SAFE strategy: Surgery, Antibiotics, Facial cleanliness, Environmental improvement. Also trains eye health professionals and strengthens health systems. Operates in over 25 countries focusing on Indigenous and underserved communities.","Publishes comprehensive annual reports with detailed program statistics, financial data, and impact metrics.",https://www.hollows.org/au/what-we-do
12,Iodine Global Network,Nutrition (iodization),Global with focus on low-income countries,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/iodine-global-network/,"Works to eliminate iodine deficiency, the most common preventable cause of brain damage in newborns. Promotes and supports universal salt iodization programs worldwide. Provides technical assistance to governments for implementing and monitoring iodization programs. Iodine deficiency affects 2 billion people globally and causes cognitive impairment, goiter, and pregnancy complications. Salt iodization is safe, effective, and costs less than $0.05 per person per year. Evidence shows significant improvements in cognitive outcomes.","Publishes global iodine nutrition data and country program reports. Collaborates with WHO, UNICEF on monitoring.",https://www.ign.org/
13,Sanku Project Healthy Children,Nutrition (fortification),Tanzania Kenya Mozambique Zambia,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/project-healthy-children/,"Installs dosifiers (automated fortification machines) in small-scale flour mills across Africa that add essential vitamins and minerals to flour. Addresses micronutrient deficiencies (iron, folic acid, zinc, B vitamins) in at-risk communities. Reaches over 5 million people through 3,500+ installed dosifiers. Cost-effective intervention (~$1 per person per year) with strong evidence base for fortification impact on anemia and neural tube defects. Focus on sustainable, scalable model with local mill partnerships.","Publishes program reach data and mill monitoring statistics. Transparent about operational model and challenges.",https://www.projecthealthychildren.org/sanku/
14,Village Enterprise,Economic development,Kenya Uganda Rwanda,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/village-enterprise/,"Equips people in extreme poverty with entrepreneurship training, seed capital ($150 cash grant), business mentoring, and savings groups to start sustainable businesses. Targets ultra-poor households in rural areas. Randomized controlled trial showed 42% consumption increase persisting 4+ years. 83% of first-time entrepreneurs served are women. Provides 3-12 months of support for business groups (typically 3 people). Focus on sustainable livelihoods rather than temporary relief.","Publishes annual impact reports with detailed outcome data from randomized evaluations. Transparent about program costs and effectiveness.",https://villageenterprise.org/what-we-do/our-approach/
15,Educate Girls,Girls education,Rural India,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/educate-girls/,"Works to increase enrollment and improve learning outcomes for out-of-school girls in rural India. Uses community volunteers to mobilize parents and identify out-of-school children. Delivers supplementary remedial learning curriculum using Teaching at the Right Level methodology. Randomized controlled trial showed significant learning gains. Has enrolled 1.6 million+ out-of-school children. Focus on India's most educationally backward districts. Gender-transformative approach addressing social barriers to girls' education.","Publishes detailed annual reports with enrollment data, learning outcomes, and program metrics. External evaluations available.",https://www.educategirls.ngo/what-we-do/
16,Teaching at the Right Level Africa,Education,Zambia Botswana Kenya Tanzania Uganda,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/teaching-at-the-right-level-africa/,"Implements teaching approaches that instruct students based on their actual learning levels rather than age-based curriculum. Works across multiple African countries to improve foundational literacy and numeracy. Based on Pratham's proven methodology from India with extensive RCT evidence showing large learning gains. Partners with governments to integrate approach into national education systems. Uses volunteers and teachers to deliver catch-up classes. Cost-effective at approximately $10-15 per child per year.","Shares evaluation results and implementation reports. Collaborates with J-PAL and other researchers for impact measurement.",https://www.teachingattherightlevel.org/
17,Breakthrough Trust,Gender equality,India,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/breakthrough-trust/,"Focuses on culture-based change in India addressing gender-based violence through school curriculum redesign and mass media campaigns. Works with government to integrate gender equality content into education for girls and boys aged 11-24. Taaron ki Toli program uses participatory sessions to shift attitudes about gender norms. Randomized evaluation showed reduced acceptance of violence and improved gender attitudes. Multi-platform approach including school programs, media campaigns, and community mobilization.","Publishes program reports and evaluation findings. Transparent about methodology and behavior change outcomes.",https://www.inbreakthrough.org/what-we-do/
18,CEDOVIP,Gender-based violence prevention,Uganda,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/cedovip/,"Establishes and runs community-led programs (SASA!) focused on reducing intimate partner violence in Kampala and northern Uganda. Randomized controlled trial showed 52% reduction in physical partner violence. Uses community activism approach with activists engaging communities through local events, media, and conversations. Addresses power imbalances and harmful masculinity norms. Plans to scale throughout Uganda. SASA! methodology adapted globally in 25+ countries.","Shares detailed program data and RCT results publicly. Collaborates with researchers for rigorous evaluation.",https://www.cedovip.org/sasa
19,Unlimit Health,Neglected tropical diseases,Sub-Saharan Africa,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/unlimit-health/,"Works with Ministries of Health and Education in sub-Saharan Africa to control and eliminate schistosomiasis (snail fever) and soil-transmitted helminthiasis (intestinal worms). Supports mass drug administration programs primarily treating school-aged children. Deworming is highly cost-effective (~$1 per child treated) with evidence of improved health, nutrition, and educational outcomes. Reaches over 10 million children annually. Focus on sustainable government-led programs with technical support.","Publishes treatment coverage data and program reports. Works within national health systems for transparency and accountability.",https://www.unlimithealth.org/what-we-do/
20,Seva Foundation,Eye health,India Nepal Tibet Bangladesh Cambodia,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/seva-foundation/,"Provides comprehensive eye care services to underserved communities in over 20 countries across Asia, Africa, and the Americas. Focuses on restoring sight through cataract surgery (~$50 per surgery), treating trachoma, and preventing blindness. Has restored sight to over 5 million people. Trains eye care professionals and strengthens local health systems for sustainability. Community-based screening programs reach remote populations. 90%+ surgical success rates.","Publishes annual reports with detailed surgical statistics, financial data, and program outcomes. External audits available.",https://www.seva.org/our-impact/
21,Raising The Village,Ultra-poverty graduation,Kenya Tanzania Uganda,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/raising-the-village/,"Partners with last-mile communities in sub-Saharan Africa to address ultra-poverty through holistic model increasing household income to over $2/day within 24 months. Combines livelihood development (livestock/agriculture), health interventions, savings groups, and education support. Data-informed approach with regular monitoring. Targets households living on <$0.50/day. Graduation model based on BRAC's proven approach with adaptations for East African context. Focuses on women-led households.","Publishes detailed program data and household outcome metrics. Transparent about cost-effectiveness and impact measurement.",https://www.raisingthevillage.org/our-model
22,Food4Education,School feeding,Kenya,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/food4education/,"Provides nutritious, low-cost school meals to children in Kenyan public schools through innovative co-investment model with local governments and communities. Evidence shows school feeding improves attendance, learning outcomes, and nutrition. Meals cost approximately $0.15 per child per day. Sustainable model with government partnerships. Focus on ensuring no child learns on an empty stomach. Uses local food sourcing to support local economies and ensure cultural appropriateness.","Publishes enrollment data, meal coverage statistics, and partnership details. Financial reporting shows cost efficiency.",https://food4education.org/our-approach/
23,PATH,Malaria vaccine rollout,Nigeria DRC Burkina Faso Mozambique Uganda,GiveWell,https://www.givewell.org/research/grants,"Supports ministries of health to integrate RTS,S and R21 malaria vaccines into national immunization programs. Provides technical assistance, training, and operational support for vaccine introduction. Malaria vaccines add to existing prevention tools (nets, chemoprevention). Evidence from clinical trials shows significant reductions in severe malaria and deaths. WHO recommended both vaccines for children in malaria-endemic areas. Focus on operational research and implementation science.","PATH is established organization with strong track record in vaccine introduction. Publishes program reports and implementation data.",https://www.path.org/programs/malaria-control-and-elimination/
24,Innovations for Poverty Action,Research and evaluation,Global,Founders Pledge,https://www.founderspledge.com/programs/global-health-and-development,"Conducts rigorous randomized controlled trials to identify effective anti-poverty solutions. Works with decision-makers to implement evidence-based programs. Has conducted 1,000+ evaluations in 50+ countries. Focus on testing innovations in health, education, agriculture, governance, and other sectors. Provides research support and technical assistance to governments and NGOs. Builds local research capacity. Evidence produced influences billions in development spending.","Transparent research organization publishing all study results publicly. Pre-registration and open data practices.",https://www.poverty-action.org/
25,Lead Exposure Elimination Project,Lead poisoning prevention,Global focus on LMICs,Founders Pledge,https://www.founderspledge.com/funds/global-health-and-development-fund,"Works on advocacy and policy change to eliminate lead exposure, particularly from lead paint, in low and middle-income countries. Creates permanent regulatory infrastructure to prevent exposure. Lead exposure causes cognitive impairment in children with no safe level. Paint regulation is highly cost-effective prevention. Works with governments to adopt and enforce lead paint laws. Estimated 800 million children globally exposed to lead. LEEP has contributed to lead paint regulations in 15+ countries.","Publishes reports on advocacy progress and policy wins. Transparent about theory of change and impact pathways.",https://leadelimination.org/
26,Extractive Industries Transparency Initiative,Governance and economic development,Resource-rich developing countries,Founders Pledge,https://www.founderspledge.com/funds/global-health-and-development-fund,"Supports countries in building governance infrastructure for extractive sectors (mining, oil, gas). Improves transparency, accountability, and oversight through multi-stakeholder approach. Evidence shows EITI reduces corruption and increases GDP in implementing countries. 57 countries participating. Focus on revenue disclosure, beneficial ownership, and contract transparency. Helps ensure natural resource wealth benefits citizens rather than elites.","EITI reporting is highly transparent by design. All country reports and revenue data publicly available.",https://eiti.org/
27,Catholic Relief Services,Health and development,Global (80+ countries),Founders Pledge,https://www.founderspledge.com/news/new-philanthropic-model,"Provides humanitarian assistance, health services, and development programs in vulnerable communities worldwide. Large-scale implementer with operations in 80+ countries. Programs include nutrition, maternal health, agriculture, education, and emergency response. Strong on-the-ground presence and relationships with local communities. Faith-based organization serving all people regardless of religion. Reaches 120 million+ people annually. Focus on sustainable development and systems strengthening.","Publishes annual reports with program data and financial information. External evaluations and audits conducted regularly.",https://www.crs.org/our-work-overseas
28,JSI Research & Training Institute,Public health systems,Global LMICs,Founders Pledge,https://www.founderspledge.com/news/new-philanthropic-model,"Delivers public health programs and research in low and middle-income countries. Focus on maternal and child health, family planning, nutrition, malaria, HIV/TB, and immunization. Works to strengthen health systems and improve service delivery. Provides technical assistance to governments and implementing partners. Evidence-based approach with monitoring and evaluation expertise. Operates in 40+ countries. Emphasis on sustainable, locally-led solutions.","Established organization with strong monitoring and evaluation practices. Publishes research and program reports.",https://www.jsi.com/where-we-work/
29,ARMoR,Antimicrobial resistance,Low and middle-income countries,Founders Pledge,https://www.founderspledge.com/funds/global-health-and-development-fund,"Works to increase low and middle-income country access to next-line antibiotics for drug-resistant infections. Antimicrobial resistance (AMR) causes 1.3 million deaths annually, disproportionately in LMICs. Identifies barriers to accessing effective drugs and develops solutions. Policy advocacy and market shaping activities. Extremely cost-effective given high AMR mortality. Focus on ensuring availability of essential medicines when first-line drugs fail.","New organization with transparent theory of change and impact measurement approach. Publishes program updates.",https://www.armorprogram.org/
30,Medicines Development for Global Health,Neglected tropical diseases,Global,GiveWell,https://www.givewell.org/all-grants-fund,"Develops pharmaceuticals for neglected tropical diseases including moxidectin for onchocerciasis (river blindness). Focus on achieving WHO prequalification for new treatments. Onchocerciasis affects 21 million people, causing blindness and severe itching. Moxidectin shows promise as superior treatment to ivermectin. Product development partnership model. Addresses market failure where pharmaceutical companies don't invest in diseases of the poor.","Clinical trial data and regulatory submissions published. Transparent development pipeline and milestones.",https://www.medicinesdevelopment.com/
31,Center for Global Development,Research and policy,Global,GiveWell,https://www.givewell.org/research/grants/center-for-global-development,"Conducts research on global development issues including why effective health interventions remain underfunded. Produces policy-relevant analysis to improve development policy and practice. Influential think tank shaping development discourse and policy. Research on aid effectiveness, health financing, education, migration, and climate. Works with policymakers to translate evidence into action. Focus on rigorous economic analysis and practical policy recommendations.","Publishes all research openly. Transparent about funding sources and potential conflicts of interest.",https://www.cgdev.org/
32,Ansh Foundation,Maternal and child health,India,Founders Pledge,https://www.founderspledge.com/programs/global-health-and-development,"Implements kangaroo mother care (KMC) programs for low-birthweight and preterm newborns in India. KMC involves skin-to-skin contact and exclusive breastfeeding support. Strong evidence from multiple studies shows KMC reduces mortality by 40% in low-birthweight infants. Cost-effective intervention requiring minimal equipment. Trains healthcare workers and establishes KMC units in government hospitals. Addresses major cause of neonatal deaths in low-resource settings.","Publishes program data on babies treated and outcomes. Collaborates with researchers for impact evaluation.",https://www.anshfoundation.org/
33,Population Services International,Social marketing for health,Developing countries (60+),The Life You Can Save,https://www.thelifeyoucansave.org/alumni,"Delivers health products and services through social marketing and clinical service delivery in developing countries. Programs focus on malaria (nets, testing, treatment), HIV prevention, family planning, and child survival. Uses commercial sector approaches to create demand and supply for health products. Operates in 60+ countries. Large-scale implementer reaching hundreds of millions. Subsidized product distribution through private sector channels.","Publishes annual reports with detailed program metrics and reach data. External evaluations available for major programs.",https://www.psi.org/
34,Results for Development,Health systems strengthening,Global LMICs,GiveWell,https://www.givewell.org/all-grants-fund,"Works to improve health and education systems in low and middle-income countries through research, technical assistance, and policy advocacy. Focus on sustainable financing, efficiency, and equity in health systems. Supports governments in resource allocation and program design. Evidence-based approach with emphasis on data use for decision-making. Programs in health financing, primary care, immunization, and nutrition.","Publishes research reports and policy briefs. Transparent about projects and partnerships with governments and donors.",https://r4d.org/
35,IDinsight,Data and evaluation,India Africa,GiveWell,https://www.givewell.org/all-grants-fund,"Provides data-driven advisory services to development organizations and governments. Conducts rigorous impact evaluations, monitoring systems design, and decision support. Uses randomized controlled trials, surveys, and administrative data analysis. Works with governments, foundations, and NGOs to improve program effectiveness. Focus on actionable insights and decision-relevant research. Operates in India and multiple African countries. Builds local evaluation capacity.","Transparent research practices with published evaluation reports. Maintains independence and methodological rigor.",https://www.idinsight.org/
36,Bandhan,Ultra-poverty graduation,India (West Bengal),Founders Pledge,https://www.founderspledge.com/research/why-were-launching-a-global-health-and-development-fund,"Operates Targeting the Hardcore Poor (THP) program providing asset transfers, training, and support to ultra-poor women-led households in India. Provides livestock or other productive assets plus consumption support, skills training, savings facilitation, and regular coaching for 18-24 months. Randomized evaluation showed large sustained impacts on consumption, assets, and well-being. Cost approximately $400 per household. Model proven effective in multiple contexts (Bangladesh, Ethiopia, Ghana, India, Pakistan, Peru).","Publishes program data and participates in rigorous external evaluations. Multiple RCTs demonstrate impact.",https://www.bandhan.org/
37,BRAC,Ultra-poverty graduation,Bangladesh and other countries,Founders Pledge,https://www.founderspledge.com/programs/global-health-and-development,"Implements ultra-poor graduation programs providing asset transfers (e.g., livestock), skills training, consumption support, savings groups, and ongoing coaching to help extremely poor households achieve sustainable livelihoods. Pioneered graduation approach now replicated globally. Serves millions in Bangladesh and programs in Afghanistan, Philippines, Tanzania, Uganda, and others. Strong evidence base with multiple randomized evaluations. Comprehensive development organization also working in health, education, and financial inclusion.","Large, established organization with extensive monitoring systems. Publishes detailed annual reports and evaluation results.",https://www.brac.net/
38,Dimagi,Health technology,Global,GiveWell,https://www.givewell.org/all-grants-fund,"Develops CommCare, a mobile platform used by community health workers and frontline health workers to deliver services. Supports data collection, case management, decision support, and supervision. Used by 500,000+ frontline workers in 80+ countries. Improves quality and efficiency of health service delivery. Open-source platform adaptable to different contexts. Evidence shows improved health worker performance and service quality. Focus on low-resource settings.","Transparent technology development with open-source approach. Publishes case studies and implementation reports.",https://www.dimagi.com/
39,Dispensers for Safe Water,Water quality,Kenya Uganda Malawi,Evidence Action,https://www.evidenceaction.org/,"Installs and maintains chlorine dispensers at community water points in rural areas, providing over 10 million people with access to safe drinking water. Chlorination at point of collection addresses water contamination. Evidence from randomized trials shows 25% reduction in under-5 mortality. Cost-effective at ~$1.50 per person per year. Community promoters encourage dispenser use and refill containers. High sustained usage rates. Prevents waterborne diseases including cholera and diarrhea.","Publishes detailed program data on dispensers installed, people reached, and usage rates. Regular monitoring and evaluation.",https://www.evidenceaction.org/safe-water-now/
40,Deworm the World Initiative,School-based deworming,India Kenya Nigeria Pakistan Ethiopia,Evidence Action,https://www.evidenceaction.org/,"Partners with governments to implement national school-based deworming programs treating children for intestinal worms. Reached over 280 million children with cost-effective treatments (~$0.50 per child). Strong evidence from randomized trials shows improved health, school attendance, and long-term earnings. Provides technical assistance, monitoring, and advocacy to government programs. Treats schistosomiasis and soil-transmitted helminths. Focus on sustainable government-led programs at scale.","Extensive monitoring and evaluation with publicly available reports. Independent coverage surveys verify treatment delivery.",https://www.evidenceaction.org/deworm-the-world-2/
41,Sightsavers,Eye health and neglected tropical diseases,Africa Asia,The Life You Can Save,https://www.thelifeyoucansave.org/alumni,"Works to eliminate avoidable blindness and promote equal opportunities for people with disabilities in Africa and Asia. Programs include cataract surgery, trachoma elimination, onchocerciasis control, school-based deworming, and inclusive education. Treats millions annually through large-scale programs. Works with governments to strengthen eye health systems. Evidence-based interventions with strong track record. Reaches 34+ countries.","Publishes comprehensive annual reports with detailed program statistics and financial data. External evaluations conducted.",https://www.sightsavers.org/
42,Oxfam,Poverty and inequality,Global (90+ countries),The Life You Can Save,https://www.thelifeyoucansave.org/alumni,"Provides humanitarian aid, development programs, and advocacy to fight poverty and injustice worldwide. Programs focus on women's rights, climate justice, economic inequality, and emergency response. Large international confederation reaching millions. Works on systemic change through policy advocacy and grassroots organizing. Emergency response capacity in disasters and conflicts. Long-term development programs in agriculture, water, and livelihoods.","Publishes annual reports and impact data. Independent evaluations of major programs available.",https://www.oxfam.org/
43,WaterAid,Water and sanitation,Sub-Saharan Africa South Asia,The Life You Can Save,https://www.thelifeyoucansave.org/alumni,"Provides access to clean water, sanitation, and hygiene education in the world's poorest communities. Works in 26 countries ensuring everyone has sustainable access to safe water and toilets. Evidence shows WASH interventions reduce diarrheal disease and improve health outcomes. Reached 28.5 million people with clean water in 2022-23. Community-led approach with government partnerships for sustainability. Also advocates for policy change and increased WASH funding.","Publishes detailed annual reports with reach data and program outcomes. External evaluations and impact assessments conducted.",https://www.wateraid.org/
44,Vitamin Angels,Nutrition,Global (70+ countries),The Life You Can Save,https://www.thelifeyoucansave.org/alumni,"Provides essential vitamins and minerals to pregnant women, new mothers, and children under five in underserved communities worldwide. Focus on vitamin A and prenatal multivitamins to reduce malnutrition and preventable diseases. Reached 70+ million women and children in 2022. Works through network of local partners for distribution. Cost-effective intervention (~$1 per person per year). Evidence-based approach focused on populations with highest micronutrient deficiency.","Publishes annual impact reports with reach data and distribution statistics. Financial transparency with low overhead.",https://www.vitaminangels.org/
45,Partners in Health,Health systems strengthening,Haiti Rwanda Liberia Sierra Leone Malawi Peru Navajo Nation,The Life You Can Save,https://www.thelifeyoucansave.org/alumni,"Delivers high-quality healthcare to the poorest communities globally through accompaniment model. Focus on comprehensive health systems strengthening including infrastructure, training, supply chains, and policy. Programs address HIV, tuberculosis, Ebola, maternal health, NCDs, and mental health. Pioneered community health worker model and treatment for drug-resistant TB. Works in solidarity with communities to achieve health equity. Long-term commitment to partners.","Publishes detailed program reports and health outcome data. Academic partnerships produce extensive research.",https://www.pih.org/
46,Pratham,Education,India,Founders Pledge,https://www.founderspledge.com/programs/global-health-and-development,"Implements innovative education programs in India focusing on foundational literacy and numeracy. Teaching at the Right Level (TaRL) approach groups children by learning level rather than age/grade. Multiple randomized evaluations show large learning gains at low cost. Reaches millions of children annually. Uses community-based volunteers and camps. Cost-effective at ~$15 per child per year. Works with government to integrate approach into public schools. Largest education NGO in India.","Extensive evaluation evidence from J-PAL and other researchers. Publishes annual reports with reach and learning outcome data.",https://www.pratham.org/
47,Global Alliance for Improved Nutrition,Nutrition,Global focus on Asia Africa,The Life You Can Save,https://www.thelifeyoucansave.org/alumni,"Works to reduce malnutrition by improving quality, safety, and affordability of nutritious foods for vulnerable populations. Programs include food fortification (salt iodization, staple food fortification), biofortification, and food systems strengthening. Works with governments and private sector to scale nutrition interventions. Reaches 1 billion+ people through fortification programs. Evidence-based approach focusing on sustainable market-based solutions.","Publishes impact reports and program data. Transparent about partnerships and funding sources.",https://www.gainhealth.org/
48,International Rescue Committee,Humanitarian response and development,40+ countries,The Life You Can Save,https://www.thelifeyoucansave.org/alumni,"Provides emergency aid and long-term assistance to refugees and displaced people worldwide. Programs include health care, education, economic support, protection services, and emergency response. Operates in conflict and post-conflict settings. Reaches 30+ million people annually. Evidence-based programming with increasing focus on rigorous evaluation. Large-scale implementer with operational presence in hardest-to-reach areas. Combination of emergency relief and recovery programs.","Publishes annual reports with program reach and outcome data. Increasing transparency through Airbel Impact Lab evaluations.",https://www.rescue.org/
49,Mercy Corps,Economic development and emergency response,40+ countries,The Life You Can Save,https://www.thelifeyoucansave.org/alumni,"Helps people in the world's toughest places build secure, productive, and just communities through emergency response, economic development, and peacebuilding programs. Focus on fragile and conflict-affected settings. Programs in agriculture, financial inclusion, youth employment, climate adaptation, and humanitarian response. Reaches 23+ million people annually. Long-term commitment combining immediate relief with addressing root causes of poverty and conflict.","Publishes annual reports with program data. Increasing use of randomized evaluations and impact measurement.",https://www.mercycorps.org/
50,Helen Keller Intl Vitamin A,Vitamin A supplementation,Sub-Saharan Africa South Asia,GiveWell,https://www.givewell.org/charities/helen-keller-international,"Delivers twice-yearly vitamin A supplementation campaigns to young children in sub-Saharan Africa and Asia. Prevents blindness, strengthens immune systems, and reduces child mortality. Cost-effective intervention reaching children during National Immunization Days and other health campaigns. Strong evidence base from multiple randomized trials. Integrates with existing health systems for sustainability and efficiency. Focus on countries with highest burden of vitamin A deficiency.","Helen Keller publishes coverage survey data and program reports. Independent monitoring and evaluation conducted.",https://www.hki.org/our-work/treating-vitamin-a-deficiency/
51,Malaria Consortium SMC,Seasonal malaria chemoprevention,Burkina Faso Chad Nigeria Togo Mali,GiveWell,https://www.givewell.org/charities/malaria-consortium,"Administers monthly courses of antimalarial drugs (sulfadoxine-pyrimethamine + amodiaquine) to children under 5 during the four months of peak malaria transmission in Sahel region. Prevents malaria illness and death during highest-risk period. Multiple RCTs demonstrate 75% reduction in malaria cases. Community drug distributors deliver door-to-door. Cost approximately $7 per child protected. GiveWell top-rated program with exceptionally strong evidence.","Malaria Consortium conducts extensive monitoring including coverage surveys and pharmacovigilance. Data published annually.",https://www.malariaconsortium.org/pages/smc.htm
